detector_name,detector_name,overlapping_trufflehog_secrets,recall,secret_count
adafruit_io_apikey,10,10,1.0,10
airtable_apikey,1,0,0.0,1
airtable_apikey_v2,478,416,0.8702928870292888,478
alchemy_apikey,638,521,0.8166144200626959,638
algolia_admin,112,109,0.9732142857142857,112
algolia_custom_permissions,309,278,0.8996763754045307,309
algolia_monitoring,717,297,0.41422594142259417,717
alibaba_iam,373,342,0.9168900804289544,373
amqp_assignment,216,0,0.0,216
amqp_uri,478,66,0.13807531380753138,478
anypoint_keys,7,2,0.2857142857142857,7
artifactory_access_token,6,0,0.0,6
artifactory_token,22,0,0.0,22
asana_access_token,8,4,0.5,8
aspnet_decryption_key,33,0,0.0,33
aspnet_validation_key,35,0,0.0,35
atlassian_access_token,52,7,0.1346153846153846,52
atlassian_oauth2,2,0,0.0,2
auth0_keys,457,0,0.0,457
authentication_tuple,955,2,0.0020942408376963353,955
aws_iam,3860,3813,0.9878238341968912,3860
aws_iam_sts,130,130,1.0,130
aws_ses_keys,125,12,0.096,125
azure_active_directory_api_keys,282,282,1.0,282
azure_devops_personal_access_token,1694,5,0.0029515938606847697,1694
azure_functions_app_key_header,1,0,0.0,1
azure_functions_app_key_query_parameter,161,0,0.0,161
azure_open_ai_api_key,174,165,0.9482758620689655,174
azure_subscription_key,464,30,0.06465517241379311,464
base64_aws_iam,43,0,0.0,43
base64_aws_ses_keys,1,0,0.0,1
base64_basic_auth,2359,0,0.0,2359
base64_generic_high_entropy_secret,4972,3,0.0006033789219629927,4972
base64_midtrans_apikey,47,0,0.0,47
base64_private_key_elliptic,210,0,0.0,210
base64_private_key_encrypted,11,0,0.0,11
base64_private_key_generic,858,153,0.17832167832167833,858
base64_private_key_openssh,95,0,0.0,95
base64_private_key_pgp,1,0,0.0,1
base64_private_key_rsa,628,0,0.0,628
basic_auth_string,3477,2515,0.7233247052056371,3477
bearer_token,19518,259,0.013269802233835434,19518
bitbucket_access_token,2,2,1.0,2
bitbucket_app_password_url,3,1,0.3333333333333333,3
buildkite_agent_token,5,0,0.0,5
buildkite_api_v2,4,4,1.0,4
bunny_net_api_key,1,0,0.0,1
carto_jwt,11,0,0.0,11
checkout_sandbox_secret_key,2,0,0.0,2
circleci_personal_token,2,0,0.0,2
clarifai_v2,323,80,0.2476780185758514,323
claude_api_key,243,224,0.9218106995884774,243
clearbit_basic_auth,1,0,0.0,1
clockwork,3,3,1.0,3
cloudant_iam,12,0,0.0,12
cloudflare_api_token,37,35,0.9459459459459459,37
cloudflare_auth_email,205,21,0.1024390243902439,205
cloudflare_ca_key,3,2,0.6666666666666666,3
cloudflare_tunnel,1556,0,0.0,1556
cloudinary_api_key_config,1108,2,0.0018050541516245488,1108
cloudinary_api_key_url,100,0,0.0,100
codeclimate_key,23,2,0.08695652173913043,23
codecov_api_key,6,0,0.0,6
cohere_apikey,433,0,0.0,433
coinbase_keys,3,0,0.0,3
company_email_password,7351,27,0.0036729696639912937,7351
confluent_api_keys,1,0,0.0,1
contentful_delivery_apikey,205,0,0.0,205
contentful_management_apikey,18,18,1.0,18
coveralls_token,41,0,0.0,41
crates_io_key,39,0,0.0,39
databricks_token,43,0,0.0,43
databricks_token_with_hostname,62,49,0.7903225806451613,62
datadog_api_key,42,25,0.5952380952380952,42
datadog_api_keys,9,2,0.2222222222222222,9
db2_assignment,34,0,0.0,34
db2_uri,36,0,0.0,36
digitalocean_oauth_application_token_v1,3,3,1.0,3
digitalocean_personal_token_v1,42,39,0.9285714285714286,42
digitalocean_refresh_token_v1,4,4,1.0,4
digitalocean_spaces_token,125,0,0.0,125
digitalocean_token,5,2,0.4,5
discord_oauth2,30,0,0.0,30
discord_webhook_url,232,0,0.0,232
docker_credentials,63,63,1.0,63
docker_swarm_join_token,76,0,0.0,76
docker_swarm_unlock_key,10,0,0.0,10
docusign_api_key,1,0,0.0,1
dropbox_app_credentials,20,0,0.0,20
dropbox_token,54,0,0.0,54
dropbox_token_v2,115,115,1.0,115
duo_keys,4,0,0.0,4
dynatrace_token,2,0,0.0,2
dynatrace_token_v2,27,0,0.0,27
easypost_api_key,5,0,0.0,5
elastic_cloud_uri,5,5,1.0,5
elasticemail,5,0,0.0,5
etsy,1,0,0.0,1
eventbrite_oauth,2,0,0.0,2
eventbrite_oauth_token,16,13,0.8125,16
facebook_access_token,5,0,0.0,5
facebook_app_keys,839,484,0.5768772348033373,839
fastly_personal_token,4,0,0.0,4
fcm_api_key,287,0,0.0,287
fernet_key,327,0,0.0,327
figma_personal_access_token,22,14,0.6363636363636364,22
finicity_auth_keys,2,0,0.0,2
flutterwave_api_key,32,32,1.0,32
frame_io_token,1,1,1.0,1
freshdesk_api_token_with_url,8,3,0.375,8
ftp_credentials_assignment,222,0,0.0,222
fullstory_api_key,1,0,0.0,1
gemfury_deploy_or_push_token,2,0,0.0,2
gemstash_apikey,1,0,0.0,1
generic_cli_option_secret,1386,37,0.026695526695526696,1386
generic_database_assignment,7107,45,0.006331785563528915,7107
generic_database_assignment_attached_port,142,0,0.0,142
generic_high_entropy_secret,987928,14123,0.014295576195836135,987928
generic_password,775579,9587,0.012361087651934877,775579
generic_password_yaml,2458,0,0.0,2458
generic_terraform_variable,195,2,0.010256410256410256,195
gitguardian_test_token,78,0,0.0,78
gitguardian_test_token_checked,10,0,0.0,10
github_app_keys,12,6,0.5,12
github_enterprise_token,366,3,0.00819672131147541,366
github_fine_grained_pat,1424,1346,0.9452247191011236,1424
github_oauth_access_token_v2,64,64,1.0,64
github_oauth_app_keys,556,120,0.2158273381294964,556
github_personal_access_token_v2,3546,3491,0.9844895657078399,3546
github_server_to_server_token_v2,16,16,1.0,16
github_token,5,0,0.0,5
github_user_to_server_token_v2,11,11,1.0,11
gitlab_enterprise_personal_token,20,15,0.75,20
gitlab_personal_token_v2,207,200,0.966183574879227,207
gitlab_personnal_token,1,0,0.0,1
gitlab_token,1244,166,0.13344051446945338,1244
gocardless_api,2,0,0.0,2
google_bard_api_key,50,0,0.0,50
google_oauth2,1028,36,0.03501945525291829,1028
google_oauth2_prefixed,4802,687,0.14306538942107455,4802
google_recaptcha,1454,0,0.0,1454
googleaiza,54950,83,0.0015104640582347588,54950
googlecloud,3843,3737,0.9724173822534479,3843
grafana_cloud_api_key,21,21,1.0,21
grafana_personal_token,113,0,0.0,113
grafana_service_account_token,22,0,0.0,22
grafana_service_account_token_with_host,3,3,1.0,3
groq_api_key,2373,2358,0.9936788874841972,2373
hashicorp_vault_token,211,0,0.0,211
hashicorp_vault_unseal_key,6,0,0.0,6
heartland_apikey,1,0,0.0,1
heroku_token,57,0,0.0,57
huawei_open_platform_keys,2,0,0.0,2
hugging_face_user_access_token,4316,4294,0.994902687673772,4316
hunter_api_key,269,29,0.10780669144981413,269
ibm_api_connect_credentials,4,0,0.0,4
ibm_cos_hmac_credentials,4,0,0.0,4
ibm_platform_api_key,448,0,0.0,448
influxdb_token,171,0,0.0,171
influxdb_token_with_host,96,0,0.0,96
infracost_api_key,6,0,0.0,6
intercom_access_token,10,10,1.0,10
jetbrains_teamcity_config_value,3,0,0.0,3
jira_basic_auth,18,6,0.3333333333333333,18
jira_token,29,5,0.1724137931034483,29
json_web_token,351,0,0.0,351
kairos_keys,2,0,0.0,2
keycloak_api_keys,172,11,0.06395348837209303,172
klaviyo_api_key,23,23,1.0,23
kraken_keys,2,0,0.0,2
kubernetes_docker_secret,197,0,0.0,197
kubernetes_jwt,104,0,0.0,104
kubernetes_user_certificate,146,0,0.0,146
langchain_api_key,416,4,0.009615384615384616,416
launch_darkly_personal_token,11,11,1.0,11
launch_darkly_sdk_key,15,15,1.0,15
ldap_credentials_assignment,25,0,0.0,25
ldap_credentials_assignment_with_dn,79,0,0.0,79
line_messaging_api,254,0,0.0,254
line_messaging_oauth2,27470,1,3.640334910811795e-05,27470
line_notify_token,37,5,0.13513513513513514,37
linear_api_key,2,2,1.0,2
linkedin_oauth2,44,0,0.0,44
linode_oauth_token,14,0,0.0,14
mailchimp_basic_auth,118,118,1.0,118
mailgun_basic_auth,60,55,0.9166666666666666,60
mailgun_smtp_password,307,291,0.9478827361563518,307
mailjet_keys,63,39,0.6190476190476191,63
mandrill_apikey,38,38,1.0,38
mapbox_secret_token,283,164,0.5795053003533569,283
mariadb_assignment,13,12,0.9230769230769231,13
mariadb_assignment_attached_port,243,243,1.0,243
mattermost_personal_token,65,0,0.0,65
messagebird_key,2,2,1.0,2
microsoft_azure_storage_account_key,6366,880,0.138234370091109,6366
midtrans_apikey,383,0,0.0,383
mistralai_apikey,94,2,0.02127659574468085,94
mongo_assignment,139,6,0.04316546762589928,139
mongo_cli,1,0,0.0,1
mongo_uri,44244,40984,0.9263176927945032,44244
mongodb_atlas_keys,4,0,0.0,4
ms_teams_webhook,155,0,0.0,155
mssql_assignment,19,19,1.0,19
mssql_assignment_attached_port,221,221,1.0,221
mssql_uri,82,0,0.0,82
mysql_assignment,2021,225,0.11133102424542306,2021
mysql_assignment_attached_port,3208,3134,0.976932668329177,3208
mysql_cli,118,0,0.0,118
mysql_uri,1513,247,0.16325181758096496,1513
neo4j_credentials_assignment,141,0,0.0,141
neo4j_credentials_assignment_attached_port,15,0,0.0,15
netlify_personal_token,3,0,0.0,3
newrelic_agent_token,16,0,0.0,16
newrelic_api_service_key,29,0,0.0,29
